n	strssn1	naive
100	0.000000	0.0000
200	0.060000	0.0000
300	0.170000	0.0300
400	0.390000	0.0700
500	0.980000	0.1300
600	1.220000	0.2500
700	1.700000	0.4200
800	2.730000	2.3300
900	4.620000	4.1900
1000	6.850000	6.3700
1100	7.880000	8.7300
1200	8.520000	11.4100
1300	9.780000	14.4600
1400	11.880000	18.1000
1500	14.380000	22.3600
1600	19.120000	28.4500
1700	25.840000	32.7700
1800	32.400000	38.9900
1900	40.830000	45.1400
2000	48.000000	56.0500
2100	52.270000	63.6600
2200	54.590000	73.9400
2300	56.500000	84.1100
2400	59.770000	106.9400
2500	65.050000	113.5700
2600	68.490000	126.0000
2700	76.520000	143.0300
2800	83.320000	163.9300
2900	92.960000	186.7000
3000	103.930000	207.7200
