n	strssn1 	naive
1100	4.840000	8.7400
1200	5.450000	11.9200
1300	6.440000	14.9500
1400	7.860000	18.8900
1500	9.590000	23.7300
1600	12.860000	29.8400
1700	16.960000	34.9300
1800	20.620000	42.1400
1900	26.120000	48.4100
2000	30.820000	59.1400
2500	43.130000	118.7900
3000	68.790000	222.1800
3500	131.430000	372.7500
4000	214.980000	563.9400
4500	260.390000	860.0300
5000	302.490000	1210.2900
5500	384.640000	1642.3601
6000	482.570000	2211.4399
6500	684.580000	2864.0300
7000	919.120000	3707.7000
7500	1221.499900	4424.9102
